learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Pool Size
18000.0,7.015625,0.15625,6400.0,1.5625,640.0,0.0,17000.0,6.086133308602287,-3331.7647058823504,-30.4270064833445,18000.0,0.0,25.0
19000.0,7.34375,0.234375,4266.666666666667,1.015625,984.6153846153846,0.0,18000.0,7.026291748462199,-3672.4137931034306,-38.39342188488302,19000.0,0.0,25.0
20000.0,7.75,0.15625,6400.0,1.328125,752.9411764705883,0.0,19000.0,7.332353285854912,-3582.9670329670457,-37.30028676771818,20000.0,0.0,25.0
21000.0,8.140625,0.078125,12800.0,1.328125,752.9411764705883,0.0,20000.0,6.332544609437946,-3461.499999999997,-34.3455299886835,21000.0,0.0,25.0
22000.0,8.5625,0.3125,3200.0,1.09375,914.2857142857143,0.0,21000.0,4.4608512068145005,-3569.158878504671,-38.97345132743359,22000.0,0.0,25.0
23000.0,8.921875,0.234375,4266.666666666667,1.015625,984.6153846153846,0.0,22000.0,6.050961420524749,-3441.5929203539654,-36.72702425691837,23000.0,0.0,25.0
24000.0,9.34375,0.234375,4266.666666666667,1.328125,752.9411764705883,0.0,23000.0,5.02164206002194,-3517.52136752137,-34.04592240696754,24000.0,0.0,25.0
25000.0,9.828125,0.15625,6400.0,1.71875,581.8181818181819,0.0,24000.0,3.192021033182404,-3691.666666666663,-42.834719824203404,25000.0,0.0,25.0
26000.0,10.1875,0.15625,6400.0,1.171875,853.3333333333334,0.0,25000.0,4.030806929350328,-3691.666666666646,-42.83471982420345,26000.0,0.0,25.0
27000.0,10.609375,0.078125,12800.0,1.40625,711.1111111111111,0.0,26000.0,4.792272129568586,-3691.6666666666524,-42.83471982420342,27000.0,0.0,25.0
28000.0,11.078125,0.234375,4266.666666666667,1.71875,581.8181818181819,0.0,27000.0,5.486636900996598,-3691.6666666666893,-42.83471982420344,28000.0,0.0,25.0
29000.0,11.421875,0.078125,12800.0,1.09375,914.2857142857143,0.0,28000.0,6.122396300700732,-3691.66666666667,-42.834719824203404,29000.0,0.0,25.0
30000.0,11.921875,0.15625,6400.0,1.71875,581.8181818181819,0.0,29000.0,6.706669461012284,-3691.6666666666893,-42.834719824203404,30000.0,0.0,25.0
